price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,fuel-system,engine-size,num-of-cylinders,engine-type,curb-weight,height,width,length,wheel-base,engine-location,drive-wheels,body-style,num-of-doors,aspiration,fuel-type,make
36880,20,15,5400,182,8,3.39,3.62,mpfi,209,6,ohc,3505,56.3,70.9,197,110,front,rwd,sedan,4,std,gas,bmw
5151,53,47,5100,48,9.5,3.03,2.91,2bbl,61,3,l,1488,53.2,60.3,141.1,88.4,front,fwd,hatchback,2,std,gas,chevrolet
6295,43,38,5400,70,9.6,3.11,3.03,2bbl,90,4,ohc,1874,52,63.6,155.9,94.5,front,fwd,hatchback,2,std,gas,chevrolet
6575,43,38,5400,70,9.6,3.11,3.03,2bbl,90,4,ohc,1909,52,63.6,158.8,94.5,front,fwd,sedan,4,std,gas,chevrolet
5572,41,37,5500,68,9.41,3.23,2.97,2bbl,90,4,ohc,1876,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,std,gas,dodge
6377,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1876,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,std,gas,dodge
7957,30,24,5500,102,7.6,3.39,3.03,mpfi,98,4,ohc,2128,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,turbo,gas,dodge
6229,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1967,50.6,63.8,157.3,93.7,front,fwd,hatchback,4,std,gas,dodge
6692,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1989,50.6,63.8,157.3,93.7,front,fwd,sedan,4,std,gas,dodge
7609,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1989,50.6,63.8,157.3,93.7,front,fwd,sedan,4,std,gas,dodge
8558,30,24,5500,102,7.6,3.39,3.03,mpfi,98,4,ohc,2191,50.6,63.8,157.3,93.7,front,fwd,sedan,,turbo,gas,dodge
8921,30,24,5000,88,8.5,3.46,3.34,2bbl,122,4,ohc,2535,59.8,64.6,174.6,103.3,front,fwd,wagon,4,std,gas,dodge
12964,24,19,5000,145,7,3.9,3.6,mfi,156,4,ohc,2811,50.2,66.3,173.2,95.9,front,fwd,hatchback,2,turbo,gas,dodge
6479,54,49,4800,58,9.6,3.41,2.91,1bbl,92,4,ohc,1713,50.8,63.9,144.6,86.6,front,fwd,hatchback,2,std,gas,honda
6855,38,31,6000,76,9.2,3.41,2.91,1bbl,92,4,ohc,1819,50.8,63.9,144.6,86.6,front,fwd,hatchback,2,std,gas,honda
5399,42,38,5500,60,10.1,3.07,2.91,1bbl,79,4,ohc,1837,52.6,64,150,93.7,front,fwd,hatchback,2,std,gas,honda
6529,34,30,6000,76,9.2,3.41,2.91,1bbl,92,4,ohc,1940,52.6,64,150,93.7,front,fwd,hatchback,2,std,gas,honda
7129,34,30,6000,76,9.2,3.41,2.91,1bbl,92,4,ohc,1956,52.6,64,150,93.7,front,fwd,hatchback,2,std,gas,honda
7295,34,30,6000,76,9.2,3.41,2.91,1bbl,92,4,ohc,2010,54.5,64,163.4,96.5,front,fwd,sedan,4,std,gas,honda
7295,34,30,6000,76,9.2,3.41,2.92,1bbl,92,4,ohc,2024,58.3,63.9,157.1,96.5,front,fwd,wagon,4,std,gas,honda
7895,33,27,5800,86,9,3.58,3.15,1bbl,110,4,ohc,2236,53.3,65.2,167.5,96.5,front,fwd,hatchback,2,std,gas,honda
9095,33,27,5800,86,9,3.58,3.15,1bbl,110,4,ohc,2289,53.3,65.2,167.5,96.5,front,fwd,hatchback,2,std,gas,honda
8845,33,27,5800,86,9,3.58,3.15,1bbl,110,4,ohc,2304,54.1,65.2,175.4,96.5,front,fwd,sedan,4,std,gas,honda
10295,33,27,5800,86,9,3.58,3.15,1bbl,110,4,ohc,2372,54.1,62.5,175.4,96.5,front,fwd,sedan,4,std,gas,honda
12945,28,24,5800,101,9,3.58,3.15,mpfi,110,4,ohc,2465,54.1,65.2,175.4,96.5,front,fwd,sedan,4,std,gas,honda
10345,31,25,5500,100,9.1,3.58,3.15,2bbl,110,4,ohc,2293,51,66,169.1,96.5,front,fwd,sedan,2,std,gas,honda
6785,29,24,4800,78,8.5,3.23,3.31,2bbl,111,4,ohc,2337,53.5,61.8,170.7,94.3,front,rwd,sedan,4,std,gas,isuzu
,43,38,5400,70,9.6,3.11,3.03,2bbl,90,4,ohc,1874,52,63.6,155.9,94.5,front,fwd,sedan,2,std,gas,isuzu
,43,38,5400,70,9.6,3.11,3.03,2bbl,90,4,ohc,1909,52,63.6,155.9,94.5,front,fwd,sedan,4,std,gas,isuzu
11048,29,24,5000,90,9.2,3.23,3.43,spfi,119,4,ohc,2734,51.4,65.2,172.6,96,front,rwd,hatchback,2,std,gas,isuzu
32250,19,15,4750,176,8.1,4.17,3.63,mpfi,258,6,dohc,4066,52.8,69.6,199.6,113,front,rwd,sedan,4,std,gas,jaguar
35550,19,15,4750,176,8.1,4.17,3.63,mpfi,258,6,dohc,4066,52.8,69.6,199.6,113,front,rwd,sedan,4,std,gas,jaguar
36000,17,13,5000,262,11.5,2.76,3.54,mpfi,326,12,ohcv,3950,47.8,70.6,191.7,102,front,rwd,sedan,2,std,gas,jaguar
5195,31,30,5000,68,9,3.15,3.03,2bbl,91,4,ohc,1890,54.1,64.2,159.1,93.1,front,fwd,hatchback,2,std,gas,mazda
6095,38,31,5000,68,9,3.15,3.03,2bbl,91,4,ohc,1900,54.1,64.2,159.1,93.1,front,fwd,hatchback,2,std,gas,mazda
6795,38,31,5000,68,9,3.15,3.03,2bbl,91,4,ohc,1905,54.1,64.2,159.1,93.1,front,fwd,hatchback,2,std,gas,mazda
6695,38,31,5000,68,9,3.15,3.03,2bbl,91,4,ohc,1945,54.1,64.2,166.8,93.1,front,fwd,sedan,4,std,gas,mazda
7395,38,31,5000,68,9,3.15,3.08,2bbl,91,4,ohc,1950,54.1,64.2,166.8,93.1,front,fwd,sedan,4,std,gas,mazda
10945,23,17,6000,101,9.4,,,4bbl,70,2,rotor,2380,49.6,65.7,169,95.3,front,rwd,hatchback,2,std,gas,mazda
11845,23,17,6000,101,9.4,,,4bbl,70,2,rotor,2380,49.6,65.7,169,95.3,front,rwd,hatchback,2,std,gas,mazda
13645,23,17,6000,101,9.4,,,4bbl,70,2,rotor,2385,49.6,65.7,169,95.3,front,rwd,hatchback,2,std,gas,mazda
15645,23,16,6000,135,9.4,,,mpfi,80,2,rotor,2500,49.6,65.7,169,95.3,front,rwd,hatchback,2,std,gas,mazda
8845,32,26,4800,84,8.6,3.39,3.39,2bbl,122,4,ohc,2385,53.7,66.5,177.8,98.8,front,fwd,hatchback,2,std,gas,mazda
8495,32,26,4800,84,8.6,3.39,3.39,2bbl,122,4,ohc,2410,55.5,66.5,177.8,98.8,front,fwd,sedan,4,std,gas,mazda
10595,32,26,4800,84,8.6,3.39,3.39,2bbl,122,4,ohc,2385,53.7,66.5,177.8,98.8,front,fwd,hatchback,2,std,gas,mazda
10245,32,26,4800,84,8.6,3.39,3.39,2bbl,122,4,ohc,2410,55.5,66.5,177.8,98.8,front,fwd,sedan,4,std,gas,mazda
10795,42,36,4650,64,22.7,3.39,3.39,idi,122,4,ohc,2443,55.5,66.5,177.8,98.8,front,fwd,sedan,,std,diesel,mazda
11245,32,26,4800,84,8.6,3.39,3.39,2bbl,122,4,ohc,2425,55.5,66.5,177.8,98.8,front,fwd,hatchback,4,std,gas,mazda
18280,27,19,5000,120,8,3.16,3.76,mpfi,140,4,ohc,2670,54.4,66.1,175,104.9,front,rwd,sedan,4,std,gas,mazda
18344,39,31,4200,72,22,3.64,3.43,idi,134,4,ohc,2700,54.4,66.1,175,104.9,front,rwd,sedan,4,std,diesel,mazda
25552,25,22,4350,123,21.5,3.64,3.58,idi,183,5,ohc,3515,56.5,70.3,190.9,110,front,rwd,sedan,4,turbo,diesel,mercedes-benz
28248,25,22,4350,123,21.5,3.64,3.58,idi,183,5,ohc,3750,58.7,70.3,190.9,110,front,rwd,wagon,4,turbo,diesel,mercedes-benz
28176,25,22,4350,123,21.5,3.64,3.58,idi,183,5,ohc,3495,54.9,70.3,187.5,106.7,front,rwd,hardtop,2,turbo,diesel,mercedes-benz
31600,25,22,4350,123,21.5,3.64,3.58,idi,183,5,ohc,3770,56.3,71.7,202.6,115.6,front,rwd,sedan,4,turbo,diesel,mercedes-benz
34184,18,16,4750,155,8.3,3.1,3.46,mpfi,234,8,ohcv,3740,56.5,71.7,202.6,115.6,front,rwd,sedan,4,std,gas,mercedes-benz
35056,18,16,4750,155,8.3,3.1,3.46,mpfi,234,8,ohcv,3685,50.8,70.5,180.3,96.6,front,rwd,convertible,2,std,gas,mercedes-benz
40960,16,14,4500,184,8,3.35,3.8,mpfi,308,8,ohcv,3900,56.7,71.7,208.1,120.9,front,rwd,sedan,4,std,gas,mercedes-benz
45400,16,14,4500,184,8,3.35,3.8,mpfi,304,8,ohcv,3715,55.4,72,199.2,112,front,rwd,hardtop,2,std,gas,mercedes-benz
16503,24,19,5000,175,8,3.12,3.78,mpfi,140,4,ohc,2910,54.8,68,178.4,102.7,front,rwd,hatchback,2,turbo,gas,mercury
5389,41,37,5500,68,9.4,3.23,2.97,2bbl,92,4,ohc,1918,50.8,64.4,157.3,93.7,front,fwd,hatchback,2,std,gas,mitsubishi
6189,38,31,5500,68,9.4,3.23,2.97,2bbl,92,4,ohc,1944,50.8,64.4,157.3,93.7,front,fwd,hatchback,2,std,gas,mitsubishi
6669,38,31,5500,68,9.4,3.23,2.97,2bbl,92,4,ohc,2004,50.8,64.4,157.3,93.7,front,fwd,hatchback,2,std,gas,mitsubishi
7689,30,24,5500,102,7.6,3.39,3.03,spdi,98,4,ohc,2145,50.8,63.8,157.3,93,front,fwd,hatchback,2,turbo,gas,mitsubishi
9959,30,23,5500,116,7.5,3.46,3.17,spdi,110,4,ohc,2370,49.4,65.4,173,96.3,front,fwd,hatchback,2,turbo,gas,mitsubishi
8499,32,25,5000,88,8.5,3.46,3.35,2bbl,122,4,ohc,2328,49.4,65.4,173,96.3,front,fwd,hatchback,2,std,gas,mitsubishi
12629,24,19,5000,145,7,3.86,3.58,spdi,156,4,ohc,2833,50.2,66.3,173.2,95.9,front,fwd,hatchback,2,turbo,gas,mitsubishi
14869,24,19,5000,145,7,3.86,3.59,spdi,156,4,ohc,2921,50.2,66.3,173.2,95.9,front,fwd,hatchback,2,turbo,gas,mitsubishi
14489,24,19,5000,145,7,3.86,3.59,spdi,156,4,ohc,2926,50.2,66.3,173.2,95.9,front,fwd,hatchback,2,turbo,gas,mitsubishi
6989,32,25,5000,88,8.5,3.46,3.35,2bbl,122,4,ohc,2365,51.6,65.4,172.4,96.3,front,fwd,sedan,4,std,gas,mitsubishi
8189,32,25,5000,88,8.5,3.46,3.35,2bbl,122,4,ohc,2405,51.6,65.4,172.4,96.3,front,fwd,sedan,4,std,gas,mitsubishi
9279,30,23,5500,116,7.5,3.46,3.17,spdi,110,4,ohc,2403,51.6,65.4,172.4,96.3,front,fwd,sedan,4,turbo,gas,mitsubishi
9279,30,23,5500,116,7.5,3.46,3.17,spdi,110,4,ohc,2403,51.6,65.4,172.4,96.3,front,fwd,sedan,4,std,gas,mitsubishi
5499,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,1889,54.5,63.8,165.3,94.5,front,fwd,sedan,2,std,gas,nissan
7099,50,45,4800,55,21.9,3.47,2.99,idi,103,4,ohc,2017,54.5,63.8,165.3,94.5,front,fwd,sedan,2,std,diesel,nissan
6649,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,1918,54.5,63.8,165.3,94.5,front,fwd,sedan,2,std,gas,nissan
6849,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,1938,54.5,63.8,165.3,94.5,front,fwd,sedan,4,std,gas,nissan
7349,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,2024,53.5,63.8,170.2,94.5,front,fwd,wagon,4,std,gas,nissan
7299,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,1951,54.5,63.8,165.3,94.5,front,fwd,sedan,2,std,gas,nissan
7799,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,2028,53.3,63.8,165.6,94.5,front,fwd,hatchback,2,std,gas,nissan
7499,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,1971,54.5,63.8,165.3,94.5,front,fwd,sedan,4,std,gas,nissan
7999,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,2037,53.5,63.8,170.2,94.5,front,fwd,wagon,4,std,gas,nissan
8249,37,31,5200,69,9.4,3.29,3.15,2bbl,97,4,ohc,2008,53.3,63.8,162.4,95.1,front,fwd,hardtop,2,std,gas,nissan
8949,34,27,5200,97,8.5,3.47,3.33,2bbl,120,4,ohc,2324,54.7,65.2,173.4,97.2,front,fwd,hatchback,4,std,gas,nissan
9549,34,27,5200,97,8.5,3.47,3.33,2bbl,120,4,ohc,2302,54.7,65.2,173.4,97.2,front,fwd,sedan,4,std,gas,nissan
13499,22,17,5200,152,9,3.27,3.43,mpfi,181,6,ohcv,3095,55.1,66.5,181.7,100.4,front,fwd,sedan,4,std,gas,nissan
14399,22,17,5200,152,9,3.27,3.43,mpfi,181,6,ohcv,3296,56.1,66.5,184.6,100.4,front,fwd,wagon,4,std,gas,nissan
13499,25,19,5200,152,9,3.27,3.43,mpfi,181,6,ohcv,3060,55.1,66.5,184.6,100.4,front,fwd,sedan,4,std,gas,nissan
17199,25,19,5200,160,9,3.27,3.43,mpfi,181,6,ohcv,3071,49.7,67.9,170.7,91.3,front,rwd,hatchback,2,std,gas,nissan
19699,23,17,5200,200,7.8,3.27,3.43,mpfi,181,6,ohcv,3139,49.7,67.9,170.7,91.3,front,rwd,hatchback,2,turbo,gas,nissan
18399,25,19,5200,160,9,3.27,3.43,mpfi,181,6,ohcv,3139,49.7,67.9,178.5,99.2,front,rwd,hatchback,2,std,gas,nissan
11900,24,19,5000,97,8.4,3.19,3.46,mpfi,120,4,l,3020,56.7,68.4,186.7,107.9,front,rwd,sedan,4,std,gas,peugot
13200,33,28,4150,95,21,3.52,3.7,idi,152,4,l,3197,56.7,68.4,186.7,107.9,front,rwd,sedan,4,turbo,diesel,peugot
12440,24,19,5000,97,8.4,3.19,3.46,mpfi,120,4,l,3230,58.7,68.4,198.9,114.2,front,rwd,wagon,4,std,gas,peugot
13860,25,25,4150,95,21,3.52,3.7,idi,152,4,l,3430,58.7,68.4,198.9,114.2,front,rwd,wagon,4,turbo,diesel,peugot
15580,24,19,5000,95,8.4,2.19,3.46,mpfi,120,4,l,3075,56.7,68.4,186.7,107.9,front,rwd,sedan,4,std,gas,peugot
16900,33,28,4150,95,21,3.52,3.7,idi,152,4,l,3252,56.7,68.4,186.7,107.9,front,rwd,sedan,4,turbo,diesel,peugot
16695,24,19,5000,95,8.4,2.19,3.46,mpfi,120,4,l,3285,56.7,68.4,198.9,114.2,front,rwd,wagon,4,std,gas,peugot
17075,25,25,4150,95,21,3.52,3.7,idi,152,4,l,3485,58.7,68.4,198.9,114.2,front,rwd,wagon,4,turbo,diesel,peugot
16630,24,19,5000,97,8.4,3.19,3.46,mpfi,120,4,l,3075,56.7,68.4,186.7,107.9,front,rwd,sedan,4,std,gas,peugot
17950,33,28,4150,95,21,3.52,3.7,idi,152,4,l,3252,56.7,68.4,186.7,107.9,front,rwd,sedan,4,turbo,diesel,peugot
18150,24,18,5600,142,7,3.21,3.61,mpfi,134,4,l,3130,56,68.3,186.7,108,front,rwd,sedan,4,turbo,gas,peugot
5572,41,37,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1918,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,std,gas,plymouth
7957,30,24,5500,102,7.6,3.39,3.03,spdi,98,4,ohc,2128,50.8,63.8,157.3,93.7,front,fwd,hatchback,2,turbo,gas,plymouth
6229,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1967,50.6,63.8,157.3,93.7,front,fwd,hatchback,4,std,gas,plymouth
6692,38,31,5500,68,9.4,3.23,2.97,2bbl,90,4,ohc,1989,50.8,63.8,167.3,93.7,front,fwd,sedan,4,std,gas,plymouth
7609,38,31,5500,68,9.4,3.23,2.97,2bbl,98,4,ohc,2191,50.8,63.8,167.3,93.7,front,fwd,sedan,4,std,gas,plymouth
8921,30,24,5000,88,8.5,3.46,3.35,2bbl,122,4,ohc,2535,59.8,64.6,174.6,103.3,front,fwd,wagon,4,std,gas,plymouth
12764,24,19,5000,145,7,3.86,3.59,spdi,156,4,ohc,2818,50.2,66.3,173.2,95.9,front,rwd,hatchback,2,turbo,gas,plymouth
22018,27,19,5500,143,9.5,3.11,3.94,mpfi,151,4,ohc,2778,50.2,68.3,168.9,94.5,front,rwd,hatchback,2,std,gas,porsche
32528,25,17,5900,207,9.5,2.9,3.74,mpfi,194,6,ohcf,2756,51.6,65,168.9,89.5,rear,rwd,hardtop,2,std,gas,porsche
34028,25,17,5900,207,9.5,2.9,3.74,mpfi,194,6,ohcf,2756,51.6,65,168.9,89.5,rear,rwd,hardtop,2,std,gas,porsche
37028,25,17,5900,207,9.5,2.9,3.74,mpfi,194,6,ohcf,2800,51.6,65,168.9,89.5,rear,rwd,convertible,2,std,gas,porsche
,28,17,5750,288,10,3.11,3.94,mpfi,203,8,dohcv,3366,50.5,72.3,175.7,98.4,front,rwd,hatchback,2,std,gas,porsche
9295,31,23,,,8.7,3.9,3.46,mpfi,132,4,ohc,2579,55.2,66.5,181.5,96.1,front,fwd,wagon,4,std,gas,renault
9895,31,23,,,8.7,3.9,3.46,mpfi,132,4,ohc,2460,50.5,66.6,176.8,96.1,front,fwd,hatchback,2,std,gas,renault
11850,28,21,5250,110,9.31,3.07,3.54,mpfi,121,4,ohc,2658,56.1,66.5,186.6,99.1,front,fwd,hatchback,2,std,gas,saab
12170,28,21,5250,110,9.3,3.07,3.54,mpfi,121,4,ohc,2695,56.1,66.5,186.6,99.1,front,fwd,sedan,4,std,gas,saab
15040,28,21,5250,110,9.3,2.07,2.54,mpfi,121,4,ohc,2707,56.1,66.5,186.6,99.1,front,fwd,hatchback,2,std,gas,saab
15510,28,21,5250,110,9.3,3.07,3.54,mpfi,121,4,ohc,2758,56.1,66.5,186.6,99.1,front,fwd,sedan,4,std,gas,saab
18150,26,19,5500,160,9,3.07,3.54,mpfi,121,4,dohc,2808,56.1,66.5,186.6,99.1,front,fwd,hatchback,2,turbo,gas,saab
18620,26,19,5500,160,9,3.07,3.54,mpfi,121,4,dohc,2847,56.1,66.5,186.6,99.1,front,fwd,sedan,4,turbo,gas,saab
5118,36,31,4900,69,9,2.36,3.62,2bbl,97,4,ohcf,2050,53.7,63.4,156.9,93.7,front,fwd,hatchback,2,std,gas,subaru
7053,31,26,4400,73,8.7,2.64,3.62,2bbl,108,4,ohcf,2120,53.7,63.6,157.9,93.7,front,fwd,hatchback,2,std,gas,subaru
7603,31,26,4400,73,8.7,2.64,3.62,2bbl,108,4,ohcf,2240,55.7,63.8,157.3,93.3,front,4wd,hatchback,2,std,gas,subaru
7126,37,32,4800,82,9.5,2.64,3.62,2bbl,108,4,ohcf,2145,52.5,65.4,172,97.2,front,fwd,sedan,4,std,gas,subaru
7775,33,28,4400,82,9.5,2.64,3.62,2bbl,108,4,ohcf,2190,52.5,65.4,172,97.2,front,fwd,sedan,4,std,gas,subaru
9960,32,26,5200,94,9,2.64,3.62,mpfi,108,4,ohcf,2340,52.5,65.4,172,97.2,front,fwd,sedan,4,std,gas,subaru
9233,25,24,4800,82,9,2.64,3.62,2bbl,108,4,ohcf,2385,54.3,65.4,172,97,front,4wd,sedan,4,std,gas,subaru
11259,29,24,4800,111,7.7,2.64,3.62,mpfi,108,4,ohcf,2510,54.3,65.4,172,97,front,4wd,sedan,4,turbo,gas,subaru
7463,32,28,4800,82,9,2.64,3.62,2bbl,108,4,ohcf,2290,53,65.4,173.5,97,front,fwd,wagon,4,std,gas,subaru
10198,31,25,5200,94,9,2.64,3.62,mpfi,108,4,ohcf,2455,53,65.4,173.5,97,front,fwd,wagon,4,std,gas,subaru
8013,29,23,4800,82,9,2.64,3.62,2bbl,108,4,ohcf,2420,54.9,65.4,173.6,96.9,front,4wd,wagon,4,std,gas,subaru
11694,23,23,4800,111,7.7,2.64,3.62,mpfi,108,4,ohcf,2650,54.9,65.4,173.6,96.9,front,4wd,wagon,4,turbo,gas,subaru
5348,39,35,4800,62,9,3.03,3.05,2bbl,92,4,ohc,1985,54.5,63.6,158.7,95.7,front,fwd,hatchback,2,std,gas,toyota
6338,38,31,4800,62,9,3.03,3.05,2bbl,92,4,ohc,2040,54.5,63.6,158.7,95.7,front,fwd,hatchback,2,std,gas,toyota
6488,38,31,4800,62,9,3.03,3.05,2bbl,92,4,ohc,2015,54.5,63.6,158.7,95.7,front,fwd,hatchback,4,std,gas,toyota
6918,37,31,4800,62,9,3.03,3.05,2bbl,92,4,ohc,2280,59.1,63.6,169.7,95.7,front,fwd,wagon,4,std,gas,toyota
7898,32,27,4800,62,9,3.03,3.05,2bbl,92,4,ohc,2290,59.1,63.6,169.7,95.7,front,4wd,wagon,4,std,gas,toyota
8778,32,27,4800,62,9,3.03,3.05,2bbl,92,4,ohc,3110,59.1,63.6,169.7,95.7,front,4wd,wagon,4,std,gas,toyota
6938,37,30,4800,70,9,3.03,3.19,2bbl,98,4,ohc,2081,53,64.4,166.3,95.7,front,fwd,sedan,4,std,gas,toyota
7198,37,30,4800,70,9,3.03,3.19,2bbl,98,4,ohc,2109,52.8,64.4,166.3,95.7,front,fwd,hatchback,4,std,gas,toyota
7898,36,34,4500,56,22.5,3.35,3.27,idi,110,4,ohc,2275,53,64.4,166.3,95.7,front,fwd,sedan,4,std,diesel,toyota
7788,47,38,4500,56,22.5,3.35,3.27,idi,110,4,ohc,2275,52.8,64.4,166.3,95.7,front,fwd,hatchback,4,std,diesel,toyota
7738,47,38,4800,70,9,3.03,3.19,2bbl,98,4,ohc,2094,53,64.4,166.3,95.7,front,fwd,sedan,4,std,gas,toyota
8358,34,28,4800,70,9,3.03,3.19,2bbl,98,4,ohc,2122,52.8,64.4,166.3,95.7,front,fwd,hatchback,4,std,gas,toyota
9258,34,28,4800,70,9,3.03,3.19,2bbl,98,4,ohc,2140,52.8,64.4,166.3,95.7,front,fwd,sedan,4,std,gas,toyota
8058,34,29,4800,70,9,3.03,3.19,2bbl,98,4,ohc,2169,52.6,64,168.7,94.5,front,rwd,sedan,2,std,gas,toyota
8238,34,29,4800,70,9,3.03,3.19,2bbl,98,4,ohc,2204,52.6,64,168.7,94.5,front,rwd,hatchback,2,std,gas,toyota
9298,29,26,6600,112,9.4,3.08,3.24,mpfi,98,4,dohc,2265,52.6,64,168.7,94.5,front,rwd,sedan,2,std,gas,toyota
9538,29,26,6600,112,9.4,3.08,3.24,mpfi,98,4,dohc,2300,52.6,64,168.7,94.5,front,rwd,hatchback,2,std,gas,toyota
8449,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2540,52,65.6,176.2,98.4,front,rwd,hardtop,2,std,gas,toyota
9639,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2536,52,65.6,176.2,98.4,front,rwd,hardtop,2,std,gas,toyota
9989,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2551,52,65.6,176.2,98.4,front,rwd,hatchback,2,std,gas,toyota
11199,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2679,52,65.6,176.2,98.4,front,rwd,hardtop,2,std,gas,toyota
11549,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2714,52,65.6,176.2,98.4,front,rwd,hatchback,2,std,gas,toyota
17669,30,24,4800,116,9.3,3.5,3.62,mpfi,146,4,ohc,2975,53,65.6,176.2,98.4,front,rwd,convertible,2,std,gas,toyota
8948,34,29,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2326,54.9,66.5,175.6,102.4,front,fwd,sedan,4,std,gas,toyota
10698,33,30,4500,73,22.5,3.35,3.27,idi,110,4,ohc,2480,54.9,66.5,175.6,102.4,front,fwd,sedan,4,turbo,diesel,toyota
9988,32,27,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2414,53.9,66.5,175.6,102.4,front,fwd,hatchback,4,std,gas,toyota
10898,32,27,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2414,54.9,66.5,175.6,102.4,front,fwd,sedan,4,std,gas,toyota
11248,32,27,4200,92,8.7,3.54,3.31,mpfi,122,4,ohc,2458,53.9,66.5,175.6,102.4,front,fwd,hatchback,4,std,gas,toyota
16558,24,20,5200,161,9.3,3.35,3.27,mpfi,171,6,dohc,2976,52,67.7,183.5,102.9,front,rwd,hatchback,2,std,gas,toyota
15998,24,19,5200,161,9.3,3.35,3.27,mpfi,171,6,dohc,3016,52,67.7,183.5,102.9,front,rwd,hatchback,2,std,gas,toyota
