"BiblName","BiblFName","AdrDistr","AdrStreet","AdrDom","Index","Phone","Site","Email","RukName","RukPos","RukTel","RukEmail"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Калининского района»","Филиал «Библиотека им. М. Ю. Лермонтова»","Калининский район","Объединения улица","11","630027","+7 (383) 272-72-62","http://mun-culture.novo-sibirsk.ru/lib_centre/cbs_lihacheva/fbib_lermontova/SitePages/default.aspx","lermontova_bibl@mail.ru ","Устинова Инесса Васильевна ","Заведующий филиалом","+7 (383) 272-72-62","lermontova_bibl@mail.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Калининского района»","Филиал «Детская библиотека им. братьев Гримм»","Калининский район","Курчатова улица","37","630129","+7 (383) 274-15-75","http://mun-culture.novo-sibirsk.ru/lib_centre/cbs_lihacheva/fbibl_brGreen/SitePages/default.aspx","grimm-ka@mail.ru ","Незнамова Ирина Анатольевна ","Заведующий филиалом","+7 (383) 274-15-75 ","grimm_ka@mail.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Калининского района»","Филиал «Детская библиотека им. А. М. Волкова»","Калининский район","Объединения улица","39","630027","+7 (383) 272-64-07","http://mun-culture.novo-sibirsk.ru/lib_centre/cbs_lihacheva/fbibl_volkova/SitePages/default.aspx","volkova_bibl@mail.ru","Белоус Юлия Юрьевна","Заведующий филиалом","+7 (383) 272-64-07","volkova_bibl@mail.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Калининского района»","Филиал «Детская Библиотека им. Л. А. Кассиля»","Калининский район","Новоуральская улица","33","630900","+7 (383) 274-76-00","http://mun-culture.novo-sibirsk.ru/lib_centre/cbs_lihacheva/fbib_kassilya/SitePages/default.aspx","kassil@ngs.ru","Саяпина Галина Александровна","Заведующий филиалом","+7 (383) 274-76-00","kassil@ngs.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Калининского района»","Филиал «Библиотека им. К. М. Симонова»","Калининский район","Новоуральская улица","33","630900","+7 (383) 274-76-00","http://mun-culture.novo-sibirsk.ru/lib_centre/cbs_lihacheva/fbibl_simonova/SitePages/default.aspx","simonovkonstantin@mail.ru  ","Шероченкова Элеонора Михайловна","Заведующий филиалом","+7 (383) 274-76-00","simonovkonstantin@mail.ru  "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Кировского района»","Центральная районная библиотека им. А. С. Макаренко","Кировский район","Петухова улица","118","630119","+7 (383) 342-15-90, +7 (383) 344-61-71","http://www.cbsmakarenko.ru/","cbsmakarenko@mail.ru","Вислобокова Светлана Юрьевна","Директор","+7 (383) 344-61-71","cbsmakarenko@mail.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Кировского района»","Филиал «Библиотека-клуб им. Н. Н. Носова» (детская)","Кировский район","Сибиряков-Гвардейцев улица","44/6","630024","+7 (383) 353-53-70","http://www.cbsmakarenko.ru/filial/2013-01-13-18-00-47/nosov.html","nosov@cbsmakarenko.ru","Пронькина Анастасия Юрьевна","Заведующий филиалом","+7 (383) 353-53-70","nosov@cbsmakarenko.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Кировского района»","Филиал «Библиотека им. М. А. Булгакова»","Кировский район","Герцена улица","10","630066","+7 (383) 317-26-07","http://www.cbsmakarenko.ru/filial/2013-01-13-17-54-27/bulgakov.html","bulgakov@cbsmakarenko.ru","Ускова Елена Викторовна","Заведующий филиалом","+7 (383) 317-26-07","bulgakov@cbsmakarenko.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Кировского района»","Филиал «Библиотека им. В. Г. Короленко» (детская)","Кировский район","Саввы Кожевникова улица","37","630033","+7 (383) 317-57-30","http://www.cbsmakarenko.ru/filial/2013-01-13-18-00-47/korolenko.html","korolenko@cbsmakarenko.ru","Коваленко Оксана Александровна ","Заведующий филиалом","+7 (383) 317-57-30","korolenko@cbsmakarenko.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Кировского района»","Филиал «Библиотека им. К. Г. Паустовского» (детская)","Кировский район","Петухова улица","68","630088","+7 (383) 342-71-62","http://www.cbsmakarenko.ru/filial/2013-01-13-18-00-47/paustovskii.html","paustovskii@cbsmakarenko.ru","Матюшина Анна Александровна","Заведующий филиалом","+7 (383) 342-71-62","paustovskii@cbsmakarenko.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Кировского района»","Филиал «Библиотека им. В. П. Астафьева»","Кировский район","Сибиряков-Гвардейцев улица","59","630088","+7 (383) 342-76-11","http://www.cbsmakarenko.ru/filial/2013-01-13-17-54-27/astafiev.html","astafiev@cbsmakarenko.ru","Семенова Анна Димитриевна","Заведующий филиалом","+7 (383) 342-76-11","astafiev@cbsmakarenko.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Кировского района»","Филиал «Библиотека им. И. А. Бунина»","Кировский район","Урманова улица","11","630033","+7 (383) 317-34-71","http://www.cbsmakarenko.ru/filial/2013-01-13-18-00-47/bunin1.html","bunin@cbsmakarenko.ru ","(Вакансия)","Заведующий филиалом","+7 (383) 317-34-71","bunin@cbsmakarenko.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Кировского района»","Филиал «Библиотека семейного чтения  им. Ю. М. Магалифа»","Кировский район","Петухова улица","53","630088","+7 (383) 342-15-97","http://www.cbsmakarenko.ru/filial/2013-01-13-18-00-47/magalif.html","magalif@cbsmakarenko.ru","Мальнева Олеся Владимировна","Заведующий филиалом","+7 (383) 342-15-97","magalif@cbsmakarenko.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Ленинского района»","Центральная районная библиотека им. П. П. Бажова","Ленинский район","Новогодняя улица","11","630073","+7 (383) 346-51-14","https://www.bazhovansk.ru ","bagova@bk.ru","Амельченко Светлана Алексеевна","Директор","+7 (383) 346-49-63","bagova@bk.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Ленинского района»","Филиал «Библиотека им. А. С. Пушкина»","Ленинский район","Широкая улица","15","630108","+7 (383) 353-75-65","https://www.lencbsnsk.ru/pushkinlibrary","bibliopushkina@bk.ru ","Трифонова Светлана Викторовна","Заведующий филиалом","+7 (383) 353-75-73","bibliopushkina@bk.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Ленинского района»","Филиал «Библиотека им. Н. А. Некрасова»","Ленинский район","Римского-Корсакова улица","5/1","630078","+7 (383) 351-07-75","https://www.lencbsnsk.ru/nekrasovlibrary","biblioteka.nekrasova.2012@mail.ru","Тарасова Ирина Евгеньевна","Заведующий филиалом","+7 (383) 351-07-75","biblioteka.nekrasova.2012@mail.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Ленинского района»","Филиал «Библиотека им. А. А. Фадеева»","Ленинский район","Полярная улица","17","630036","+7 (383) 290-16-00","https://www.lencbsnsk.ru/fadeevlibrary","a.fadeeva@ngs.ru","Пинигин Роман Николаевич","Заведующий филиалом","+7 (383) 290-16-00","a.fadeeva@ngs.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Ленинского района»","Филиал «Библиотека им. А. А. Ахматовой»","Ленинский район","Филатова улица","9","630071","+7 (383) 341-43-77","https://www.lencbsnsk.ru/ahmatovalibrary","a.ahmatova@bk.ru","Базарова Татьяна Алексеевна","Заведующий филиалом","+7 (383) 341-43-77","a.ahmatova@bk.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Ленинского района»","Филиал «Библиотека им. В. В. Куйбышева»","Ленинский район","Колхидская улица","11","630096","+7 (383) 350-00-68","https://sportlibrary54.ru/","sportlibrary@bk.ru","Андрианова Анастасия Вадимовна ","Заведующий филиалом","+7 (383) 350-00-68","sportlibrary@bk.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Ленинского района»","Филиал «Библиотека семейного чтения»","Ленинский район","Станиславского улица","36","630079","+7 (383) 353-28-40","https://www.lencbsnsk.ru/familyreadinglibrary","semeinogo@bk.ru","Стадниченко Надежда Алексеевна","Заведующий филиалом","+7 (383) 353-28-40","semeinogo@bk.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Ленинского района»","Филиал «Библиотека Калейдоскоп» (детская)","Ленинский район","Халтурина улица","32","630071","+7 (383) 341-35-14","https://www.lencbsnsk.ru/kalininlibrary","bibllio@mail.ru","Заева Дарья Олеговна","Заведующий филиалом","+7 (383) 341-35-14","bibllio@mail.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Ленинского района»","Филиал «Библиотека Садко» (детская)","Ленинский район","Римского-Корсакова улица","12","630054","+7 (383) 314-83-30","https://sadkonsk.ru/","A.Gercena@bk.ru","Петрочинина Ольга Петровна","Заведующий филиалом","+7 (383) 314-83-30","A.Gercena@bk.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Ленинского района»","Филиал «Библиотека им. В. В. Бианки» (детская)","Ленинский район","9-й Гвардейской Дивизии улица","18","630107","+7 (383) 366-02-52","https://www.lencbsnsk.ru/biankilibrary","bianki1976@bk.ru","Самарина  Ирина Ивановна ","Заведующий филиалом","+7 (383) 366-02-52","bianki1976@bk.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Ленинского района»","Филиал «Библиотека им. А. А. Блока»","Ленинский район","Котовского улица","11","630078","+7 (383) 351-61-27","https://www.lencbsnsk.ru/bloklibrary","a.bloka@bk.ru","Черепанова Юлия Алексеевна","Заведующий филиалом","+7 (383) 351-61-27","a.bloka@bk.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Октябрьского района»","Центральная районная библиотека им. Л. Н. Толстого","Октябрьский район","Восход улица","26","630102","+7 (383) 266-93-01","http://cbstolstoy.ru/","info@cbstolstoy.ru","Новикова Наталья Николаевна","Директор","+7 (383) 266-01-08","info@cbstolstoy.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Октябрьского района»","Филиал «Библиотека им. Б. А. Богаткова»","Октябрьский район","Никитина улица","70","630008","+7 (383) 269-40-04","http://bogatkova.cbstolstoy.ru  ","bogatkova@cbstolstoy.ru","Ольга Васильевна Синицына","Заведующий филиалом","+7 (383) 262-03-22","bogatkova@cbstolstoy.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Октябрьского района»","Филиал «Библиотека им. Т. Г. Шевченко»","Октябрьский район","Большевистская улица","175/1","630126","+7 (383) 269-40-24","http://shevchenko.cbstolstoy.ru","shevchenko@cbstolstoy.ru","Корбут Оксана Олеговна","Заведующий филиалом ","+7 (383) 269-50-79","shevchenko@cbstolstoy.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Октябрьского района»","Филиал «Библиотека им. Н. Г. Гарина-Михайловского»","Октябрьский район","Кирова улица","321","630063","+7 (383) 262-26-62","http://garina-m.cbstolstoy.ru","garina-m@cbstolstoy.ru","Бурвиц Ольга Викторовна","Заведующий филиалом ","+7 (383) 262-26-62","garina-m@cbstolstoy.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Октябрьского района»","Филиал «Библиотека им. И. М. Лаврова»","Октябрьский район","Стофато улица","1а","630039","+7 (383) 264-01-33","http://lavrova.cbstolstoy.ru ","Lavrova@cbstolstoy.ru","Потапова  Ольга Владимировна","Заведующий филиалом ","+7 (383) 264-01-33","Lavrova@cbstolstoy.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Октябрьского района»","Филиал «Библиотека им. М. М. Пришвина» (детская)","Октябрьский район","Коммунстроевская улица","200","630039","+7 (383) 211-70-06","http://prishvina.cbstolstoy.ru","prishvina@cbstolstogo.ru  ","Борисова Олеся Васильевна","Заведующий филиалом ","+7 (383) 211-70-06","prishvina@cbstolstogo.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Первомайского района»","Центральная районная библиотека им. Н. Г. Чернышевского","Первомайский район","Сызранская улица","9","630025","+7 (383) 337-61-01","http://bibliotekino.ru/","1@bibliotekino.ru","Угрюмова Елена Валерьевна ","Директор","+7 (383) 337-61-01","1@bibliotekino.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Первомайского района»","Филиал «Библиотека семейного чтения им. Володи Дубинина» (детская)","Первомайский район","Первомайская улица","114","630080","+7 (383) 338-34-33","http://bibliotekino.ru","2@bibliotekino.ru","Зацепина Нелли Геннадьевна ","Заведующий филиалом","+7 (383) 338-34-33","bibl-dubinina@novo-sibirsk.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Первомайского района»","Филиал «Библиотека им. М. А. Светлова»","Первомайский район","Маяковского улица","4","630037","+7 (383) 337-24-46","http://bibliotekino.ru","3@bibliotekino.ru","Чеботникова Елена Юрьевна","Заведующий филиалом","+7 (383) 337-24-46","bibl-svetlova@novo-sibirsk.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Первомайского района»","Филиал «Библиотека им. К. И. Чуковского» (детская)","Первомайский район","Шмидта улица","3","630046","+7 (383) 337-07-97","http://bibliotekino.ru","4@bibliotekino.ru","Опарина Нина Ивановна ","Заведующий филиалом","+7 (383) 337-07-97","bibl-chukovskogo@novo-sibirsk.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Первомайского района»","Филиал «Библиотека им. И. А.  Крылова»","Первомайский район","4-й Пятилетки улица","28а","630068","+7 (383) 338-35-61","http://bibliotekino.ru","5@bibliotekino.ru","Косолапова Вера Васильевна","Заведующий филиалом","+7 (383) 338-35-61","bibl-krylova@novo-sibirsk.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Первомайского района»","Филиал «Библиотека им. А. И. Куприна»","Первомайский район","Узорная улица","8","630059","+7 (383) 338-54-10","http://bibliotekino.ru","6@bibliotekino.ru","Рудакова Наталья Евгеньевна","Заведующий филиалом","+7 (383) 338-54-10","bibl-kuprina@novo-sibirsk.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Первомайского района»","Филиал «Библиотека им. Г. М. Пушкарева» (детская)","Первомайский район","Звездная улица","3","630097","+7 (383) 337-87-10","http://bibliotekino.ru","7@bibliotekino.ru","Ляхова Ольга Николаевна ","Заведующий филиалом","+7 (383) 337-87-10","bibl-pushkareva@novo-sibirsk.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Первомайского района»","Филиал «Библиотека им. В. М. Шукшина»","Первомайский район","Твардовского улица","18","630068","+7 (383) 338-97-95","http://bibliotekino.ru","9@bibliotekino.ru","Саранцева Людмила Сергеевна","Заведующий филиалом","+7 (383) 338-97-95","bibl-shukshina@novo-sibirsk.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. М. В. Ломоносова Советского района»","Центральная районная библиотека им. М. В. Ломоносова","Советский район","Софийская улица","2","630057","+7 (383) 326-04-02","https://cbslomonosova.ru/index.php/libr/putevoditel-po-bibliotekam/tsrb-im-m-v-lomonosova-col-252/o-biblioteke-tsrb","cbslomonosova@ngs.ru","Зубарева Ольга Николаевна","Директор","+7 (383) 334-76-54","cbslomonosova@ngs.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. М. В. Ломоносова Советского района»","Филиал «Библиотека им.  М. М. Зощенко»","Советский район","Тружеников улица","16а","630058","+7 (383) 306-64-69","https://cbslomonosova.ru/index.php/libr/putevoditel-po-bibliotekam/biblioteka-im-m-m-zoshchenko/o-bibliotke","bibzoshchenko@mail.ru","Родченко Ксения Петровна","Заведующий филиалом","+7 (383) 306-64-69","bibzoshchenko@mail.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. М. В. Ломоносова Советского района»","Филиал «Библиотека им.  М. А. Шолохова»","Советский район","Мусы Джалиля улица","5","630055","+7 (383) 332-13-57","https://cbslomonosova.ru/index.php/libr/putevoditel-po-bibliotekam/biblioteka-im-m-a-sholokhova/o-bibliotke-sh","bsholohova@yandex.ru","Плотникова Ольга Васильевна","Заведующий филиалом","+7 (383) 332-12-57","bsholohova@yandex.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. М. В. Ломоносова Советского района»","Филиал «Библиотека им. А. Л. Барто»","Советский район","Ветлужская улица","28а","630056","+7 (383) 345-03-24","https://cbslomonosova.ru/index.php/libr/putevoditel-po-bibliotekam/biblioteka-im-a-l-barto/o-bbibl-bar","bartolibrary@ngs.ru","Лунева Оксана Васильевна","Заведующий филиалом","+7 (383) 345-03-24","bartolibrary@ngs.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. М. В. Ломоносова Советского района»","Филиал «Библиотека им. С. Т. Аксакова»","Советский район","Экваторная улица","5","630060","+7 (383) 335-96-66","https://cbslomonosova.ru/index.php/libr/putevoditel-po-bibliotekam/biblioteka-im-s-t-aksakova/o-biblioteke","bibaks@ngs.ru","Вакансия","Заведующий филиалом","+7 (383) 335-96-66","bibaks@ngs.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. М. В. Ломоносова Советского района»","Филиал «Библиотека им. Ю. Д. Дмитриева»","Советский район","Молодежи бульвар","16","630055","+7 (383) 332-27-34","https://cbslomonosova.ru/index.php/libr/putevoditel-po-bibliotekam/biblioteka-im-yu-d-dmitrieva/o-b-dm","biblioteka.dmitrieva@yandex.ru","Горобец Яна Юрьевна","Заведующий филиалом","+7 (383) 332-27-34","biblioteka.dmitrieva@yandex.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. М. В. Ломоносова Советского района»","Филиал «Библиотека им. Н. С. Лескова»","Советский район","Боровая Партия улица","13","630016","+7 (383) 334-40-20","https://cbslomonosova.ru/index.php/libr/putevoditel-po-bibliotekam/biblioteka-im-n-s-leskova/o-b-les","lib_leskov@ngs.ru","Зарубина Наталья Сергеевна","Заведующий филиалом","+7 (383) 334-40-20","lib_leskov@ngs.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Филиал «Библиотека  им. Н. К. Крупской»  (детская) ","Центральный район","Максима Горького улица","104","630099","+7 (383) 223-13-61","https://www.sshbn.ru/","f10@sshbn.ru","Лобес Алла Юрьевна ","Заведующий филиалом","+7 (383) 223-13-61","f10@sshbn.ru"
