ID в ИС ГТИБД,Название,Название (англ.),Адрес,Район,Телефоны,Сайт,Электронная почта,Доступно для лиц с ограниченными возможностями,Геопозиция
4449,"Кинотеатр ""Художественный""",Негосударственное учреждение,"191025, Санкт-Петербург, Невский пр., 67",Центральный,+7(812) 314-00-45;,www.poravkino.ru,poravkinomart@mail.ru,нет,"59.931526,30.353831"
4450,"Кинотеатр ""Аврора""",Государственное городское учреждение,"191023, Санкт-Петербург, Невский пр., д. 60",Центральный,+7(812) 315-52-54,www.avrora.spb.ru,avrora-spb@mail.ru,да,"59.933938,30.339296"
4451,"Киноцентр ""Пик""",Негосударственное учреждение,"190031, Санкт-Петербург, ул. Ефимова, 2, лит. А",Адмиралтейский,+7 (812) 449-24-32,www.kinopik.info,,нет,"59.926354,30.320827"
4453,"Киноцентр ""SkyFilm""",Негосударственное учреждение,"196140, Санкт-Петербург, Шереметьевская ул., 15, лит. А",Московский,+7 (812) 615-11-00,www.skyfilm.pulkovotri.ru,kino@pulkovotri.ru,нет,"59.805794,30.320575"
4454,"Сеть кинотеатров ""КАРО"". ""Каро 7 ""Атмосфера""",Негосударственное учреждение,"197372, Санкт-Петербург, Комендантская пл.,1, лит. а",Приморский,+7 (960) 231-50-03,www.karofilm.ru,feedback@karofilm.ru,нет,"60.007596,30.259741"
4455,"Кинолофт ""Москва""",Негосударственное учреждение,"191317, Санкт-Петербург, пл. Александра Невского, д. 2, 6 этаж",Центральный,+7 (812) 274-20-12,www.kino-moscow.ru,-,нет,"59.924393,30.386619"
4456,"Сеть кинотеатров ""КАРО"". ""Каро 5 на Байконурской""",Негосударственное учреждение,"191144, Санкт-Петербург, ул. Байконурская, 14, лит. А",Приморский,8-969-701-76-79,www.karofilm.ru,feedback@karofilm.ru,нет,"60.002049,30.272659"
4457,"Сеть кинотеатров ""КАРО"". ""Каро 5 Невский-2""",Негосударственное учреждение,"193168, Санкт-Петербург, пр. Большевиков, 18",Невский,+7 (960) 231-47-37,www.karofilm.ru,feedback@karofilm.ru,нет,"59.908601,30.483655"
4459,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""Академ Парк""",Негосударственное учреждение,"195220, Санкт-Петербург, Гражданский пр., 41",Калининский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"60.011356,30.398028"
4460,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""Балканский""",Негосударственное учреждение,"192281, Санкт-Петербург, Балканская пл., 5",Фрунзенский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"59.831829,30.375974"
4461,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""Заневский Каскад""",Негосударственное учреждение,"195213, Санкт-Петербург, Заневский пр., 67/2",Красногвардейский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"59.93291,30.437653"
4462,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""Меркурий""",Негосударственное учреждение,"197374, Санкт-Петербург, ул. Cавушкина, 141",Приморский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"59.990791,30.205807"
4463,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""НЕО""",Негосударственное учреждение,"199106, Санкт-Петербург, Большой пр. В.О., 68",Василеостровский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"59.931864,30.259984"
4464,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""Норд""",Негосударственное учреждение,"194355, Санкт-Петербург, пр. Просвещения, 19",Выборгский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"60.052604,30.331157"
4465,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""Родео Драйв""",Негосударственное учреждение,"195274, Санкт-Петербург, пр. Культуры, 1",Калининский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"60.033594,30.367728"
4466,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""Лондон Молл""",Негосударственное учреждение,"193318, Санкт-Петербург, ул. Коллонтай, 3",Невский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"59.912806,30.44695"
4467,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема в ТК ""Атлантик Сити""",Негосударственное учреждение,"197374, Санкт-Петербург, ул. Савушкина, 126",Приморский,+7 (812) 677-60-60,www.mirage.ru,support@mirage.ru,нет,"59.986308,30.203821"
4468,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема в ""Озерках""",Негосударственное учреждение,"194356, Санкт-Петербург, пр. Энгельса, 124",Выборгский,+7 (812) 677-60-60,www.mirage.ru,support@mirage.ru,нет,"60.039005,30.323234"
4469,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема на Большом""",Негосударственное учреждение,"197198, Санкт-Петербург, Большой пр., П.С., 35, лит. а",Василеостровский,+7 (812) 677-60-60,www.mirage.ru,support@mirage.ru,нет,"59.94508,30.267431"
4470,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема"" в ТК ""Гулливер""",Негосударственное учреждение,"197374, Санкт-Петербург, Торфяная дорога, 7",Приморский,+7 (812) 677-60-60,www.mirage.ru,support@mirage.ru,нет,"59.990669,30.257801"
4471,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема"" в ТК ""Ульянка""",Негосударственное учреждение,"198261, Санкт-Петербург, пр. Ветеранов, 101",Кировский,+7 (800) 505-17-85,www.mirage.ru,support@mirage.ru,нет,"59.834035,30.204845"
4472,"Сеть кинотеатров ""КАРО"". ""Каро 9 Варшавский экспресс""",Негосударственное учреждение,"190005, Санкт-Петербург, наб. Обводного кан., 118",Адмиралтейский,+7 (960) 231-47-19,www.karofilm.ru,feedback@karofilm.ru,нет,"59.906923,30.307352"
4473,"Сеть кинотеатров ""КАРО"". ""Каро 7 на Стачек""",Негосударственное учреждение,"198302, Санкт-Петербург, пр. Стачек, 99",Кировский,+7 (960) 231-52-32,www.karofilm.ru,feedback@karofilm.ru,нет,"59.858575,30.247929"
12868,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема в ТРК «Международный»",Негосударственное учреждение,"Санкт-Петербург, Белы Куна ул., д. 3",Фрунзенский,+7 (812) 677-60-60,www.mirage.ru,support@mirage.ru,нет,"59.870091,30.379388"
12869,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема в ТРК «Балкания NOVA-2»",Негосударственное учреждение,"192281, Санкт-Петербург, Балканская пл.,д. 5, ТРК «Балкания NOVA-2»",Фрунзенский,+7 (812) 677-60-60,www.mirage.ru,support@mirage.ru,нет,"59.829952,30.380358"
12870,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема в ТРК «Монпансье»",Негосударственное учреждение,"197373, Санкт-Петербург, ул.Планерная, д. 59",Приморский,+7 (812) 677-60-60,www.mirage.ru,support@mirage.ru,нет,"60.02222,30.225291"
12871,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема в ТРК «Европолис»",Негосударственное учреждение,"195197, Санкт-Петербург, пр.Полюстровский, д.84а",Выборгский,+7 (812) 677-60-60,www.mirage.ru,support@mirage.ru,нет,"59.987623,30.35384"
12875,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""Галерея""",Негосударственное учреждение,"191040, Санкт-Петербург, Лиговский проспект 30 А",Центральный,8 800 700 01 11,https://kinoteatr.ru/,,нет,"59.92741,30.36064"
12876,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""Питерлэнд""",Негосударственное учреждение,"197374, Санкт-Петербург, Приморский проспект 72 А",Приморский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"59.981708,30.209894"
12877,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""Жемчужина""",Негосударственное учреждение,"198206, Санкт-Петербург, Петергофское шоссе, 51",Красносельский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"59.849202,30.144245"
12878,"Сеть кинотеатров ""Формула Кино"". Кинотеатр ""Сити Молл""",Негосударственное учреждение,"197341, Санкт-Петербург, Коломяжский пр., 17 А",Приморский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"60.005437,30.299034"
12879,"Сеть кинотеатров ""КАРО"". ""Каро 7 Лиговъ""",Негосударственное учреждение,"192007 , Санкт-Петербург, Лиговский пр., д. 153",Фрунзенский,8-969-701-76-73,www.karofilm.ru,feedback@karofilm.ru,нет,"59.914854,30.347534"
12880,"Сеть кинотеатров ""КАРО"". ""Каро 9 Континент на Звездной""",Негосударственное учреждение,"196158, Санкт-Петербург, ул. Ленсовета, д. 97",Московский,+7 (960) 231-48-43,www.karofilm.ru,feedback@karofilm.ru,нет,"59.832204,30.347336"
12885,"Сеть кинотеатров ""Формула Кино"". Синема парк «Питер – Радуга»",Негосударственное учреждение,"196244, Санкт-Петербург, пр. Космонавтов, д. 14",Московский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"59.868948,30.35048"
12901,"Киноцентр ""Дом Кино""",Общественная организация,"191023, Санкт-Петербург, Караванная ул., 12",Центральный,+7 (812) 314-56-14,www.domkino.spb.ru,5715557@gmail.com,нет,"59.936251,30.342162"
12902,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр  ""Мираж Синема"" в ТК ""ОКА""",Негосударственное учреждение,"196655, г. Колпино, ул. Октябрьская, 8",Колпинский,677-60-60,www.mirage.ru,support@mirage.ru,нет,"59.738956,30.622948"
12903,"Кинотеатр ""Невский Cinema""",Негосударственное учреждение,"Санкт-Петербург, ул. Народная, д. 4, лит. А, МФДЦ ""Невский""",Невский,+7 (812) 333-33-08,www.nevskiy-cinema.ru,nevskiycinema@ntd.spb.ru,нет,"59.880861,30.458503"
12904,Кинотеатр Angleterre Cinema Lounge,Негосударственное учреждение,"190000, Санкт-Петербург, ул. Малая Морская д. 24, отель Англетер",Центральный,78124945990.0,www.angleterrecinema.ru,ershovstas@gmail.com,нет,"59.934064,30.309113"
12905,"Кинотеатр ""Cinema GRAND PALACE""",Негосударственное учреждение,"191011, Санкт-Петербруг, Итальянская ул.,15, Галерея бутиков Гранд Палас, 4 торговый уровень",Центральный,+7 (812) 4-499-499,www.cinemagrandpalace.ru,pr@grand-palace.ru,нет,"59.937193,30.328498"
12906,"Кинотеатр ""Великан Парк""",Негосударственное учреждение,"197198, Санкт-Петербург, Александровский парк, дом 4, корпус 3, литера А",Петроградский,+7(812) 676-61-51,www.velikan-park.ru,service@velikan-park.ru,нет,"59.955872,30.314619"
12908,Культурный центр Каскад,Государственное бюджетное учреждение культуры,"198510, Санкт-Петербург, г. Петергоф, ул. Царицынская, д. 2",Петродворцовый,"+7(812) 450-79-10, 450-64-19",http://vkaskade.ru/,"irina-kaskad@yandex.ru, skorokino@mail.ru",нет,"59.876206,29.916127"
12909,"Кинотеатр ""Кино без попкорна""",Негосударственное учреждение,"191186, Санкт-Петербург, Литейный пр., 51",Центральный,+7 950 031 26 20,https://vk.com/bez_popkorna,yurickn@gmail.com,нет,"59.93809,30.346599"
12910,"Кинотеатр ""Кинопаркинг""",Негосударственное учреждение,"197022, Санкт-Петербург, ул. Академика Павлова, д. 5, лит. А",Петроградский,"+7(812) 900-07-78, +7 921 929 61 23",www.kinoparking.org,kinoparkingteam@gmail.com,нет,"59.826384,30.085504"
12911,"Сеть кинотеатров ""Люксор"". Кинотеатр ""Люксор в ТРК ""Континент""",Негосударственное учреждение,"192102, Санкт-Петербург, ул. Бухарестская, д. 30/32, ТРК ""Континент"", 3 этаж",Фрунзенский,"+7(812) 245-05-30 (касса), +7(812) 245-05-20",www.luxorfilm.ru,mail@luxor.ru,нет,"59.883151,30.370001"
12912,"Сеть кинотеатров ""Люксор"". Кинотеатр ""Люксор в ТРК ""ЛЕТО""",Негосударственное учреждение,"196240, Санкт-Петербург, Пулковское шоссе, 25, к.1",Московский,+7(812) 449-1070 (автоинформатор); +7(812) 449-1080,www.luxorfilm.ru,mail@luxor.ru,нет,"59.819775,30.317018"
12913,"СПб ГБУ ""Культурно-досуговый комплекс ""Красносельский""",Государственное бюджетное учреждение культуры,"198330, г. Санкт-Петербург, Петергофское шоссе, д. 3/2",Красносельский,+7(812) 745-79-34; +7(812) 750-23-34,http://redkdk.spb.ru/,kinoteatr.estafeta@yandex.ru,нет,"59.846857,30.206876"
12914,"Открытая киностудия ""ЛенДок""",гос. городское учреждение,"190068, Санкт-Петербург, наб. Крюкова канала, 12",Адмиралтейский,+7 (931) 238-79-74,www.lendoc.ru,lendoc@lendoc.ru,нет,"59.924064,30.29695"
12915,"Кинотеатр ""Синема Стар"" в ТРЦ ""РИО""",Негосударственное учреждение,"192102, Санкт-Петербург, ул.Фучика, д. 2, ТРЦ «РИО»",Фрунзенский,+7 (812) 414-30-70,www.cinemastar.ru,info@cinemastar.ru,нет,"59.87696,30.35932"
18396,"Сеть кинотеатров ""КАРО"". Каро Охта 11",Негосударственное учреждение,"Брантовская дорога, д.3, ТЦ ""Охта Молл"" 4 эт",Красногвардейский,+7 (967) 520-85-69,https://karofilm.ru/,feedback@karofilm.ru,нет,"59.940489,30.419565"
18397,Кинотеатр Out Cinema,Негосударственное учреждение,"Ковенский переулок, 14​А корпус; 1 этаж",Центральный,+7 (921) 411 96 76,outcinema.ru,outcinema@yandex.ru,нет,"59.937429,30.359081"
18398,Кинотеатр Киноград,Негосударственное учреждение,"​ТРК Южный полюс Пражская, 48/50​",Фрунзенский,+7 (812) 207‒12‒97,https://polyus.cinema-grad.com/contacts,,нет,"59.864184,30.402865"
18399,Синема 5-Шкиперский молл,Негосударственное учреждение,"ТК Шкиперский молл, ​Малый проспект В.О., 88​, 3 этаж",Василеостровский,"+7 (812) 493‒52‒00
+7 (812) 493‒52‒01",https://cinema5.ru/sankt-peterburg/,98@cinema-5.ru,нет,"59.938293,30.230672"
18401,"Люмьер Холл, креативное пространство",Негосударственное учреждение,"Набережная Обводного канала, 74 лит Д​1 этаж",Московский,"+7 (812) 407‒17‒31
+7‒900‒640‒46‒31",https://www.lumierehall.ru/,spb@lumierehall.ru,нет,"59.910349,30.328911"
18403,Скай Синема,Негосударственное учреждение,"​ТРК Пилот​ Генерала Кныша, д. 2а​, 3 этаж
Гатчина, Гатчинский район, Ленинградская область, 188309",Гатчинский район,+7 (81371) 7‒05‒75,https://skycinemapilot.ru/,https://vk.com/sky.cinema,нет,"59.563769,30.09246"
18404,Кино-7D,Негосударственное учреждение,"​ТРК Планета Нептун, ул. ​Марата, 86​227 павильон; 2 этаж",Адмиралтейский,+7 (812) 449‒68‒64,7d-kino.com,-,нет,"59.918946,30.33891"
18406,Кино-7D,Негосударственное учреждение,"​ТРК PiterLand​, Приморский проспект, д. 72​, 1 этаж",Приморский,+7 (812) 449‒68‒64,7d-kino.com,-,нет,"59.981414,30.210098"
19579,"Сеть кинотеатров ""Формула Кино"". Синема парк ""Гранд Каньон""",Негосударственное учреждение,"194358, Санкт-Петербург, пр-т Энгельса, 154, ТРК «Гранд Каньон», 3-й этаж",Выборгский,8 800 700 01 11,https://kinoteatr.ru/,,нет,"60.058962,30.334388"
19580,"Сеть кинотеатров ""Формула Кино"". Синема парк ""МЕГА Дыбенко""",Негосударственное учреждение,"188689, Ленинградская обл., Всеволожский район, Мурманское шоссе, 12 км, ТРК «МЕГА Дыбенко», 1-й этаж","Всеволожский, г. Кудрово",8 800 700 01 11,https://kinoteatr.ru/,,нет,"59.893968,30.514867"
19581,Кинотеатр Art Lair Cinema,Негосударственное учреждение,"​197101, Дивенская, 5​ 1 этаж",Петроградский,+7 (999) 206-22-09,https://vk.com/artlaircinema,-,нет,"59.959242,30.321925"
19582,Частный кинотеар La cinema,Негосударственное учреждение,"​188300, Соборная, 18",г. Гатчина,"+7‒911‒221‒03‒03
+7 (81371) 7‒60‒79",-,-,нет,"59.565985,30.126403"
19583,Частный кинотеатр OldSchool Cinema,Негосударственное учреждение,"188300, 7-ой Армии, 22 лит Б ​3 этаж; скалодром Тринити",г. Гатчина,+7‒900‒645‒24‒44,https://vk.com/oldschool_cinema,-,нет,"59.571745,30.137713"
19584,"Частный развлекательный кинотеартр ""Ворнерсистерс""",Негосударственное учреждение,"188300, ​Хохлова, 16 ​цокольный этаж",г. Гатчина,+7‒921‒740‒34‒42,http://ws-kino.ru/,-,нет,"59.575002,30.12356"
19585,Кинотеатр Кинопарк,Негосударственное учреждение,"196634, Ростовская ул., 20, Пушкин",Пушкинский,+7 960 237 1 237,go2cinema.ru,-,нет,"59.743715,30.475844"
19586,Кинотетатр Киноград,Негосударственное учреждение,"192177, ТРК Порт Находка, ул. Тепловозная, 31",Невский,+7 (921) 347-95-50,https://nahodka.cinema-grad.com/,-,нет,"59.831571,30.501811"
